Name,Manufacturer,Manufacturer Number,Supplier,Supplier Number,Quantity,Price Total,Optional,Comments
Omron Micro Switch,Omron,D2F-01F-D,Mouser,653-D2F-01F-D,1,0.98,,For interlock. Also available at RS at MOQ 5
Polyimide hinges,Pinet,54-A-3031,RS components,407-6950,2,17,,
M4 Inbus bolt 10mm,,,Generic,XX001,25,2.5,,
M4 Inbus nut,,,Generic,XX002,25,1.25,,
Emergency Off button,IDEC,YW1B-V4E02R,RS components,168-2546,1,18.48,EXTRA,
