Name,Manufacturer,Manufacturer Number,Supplier,Supplier Number,Quantity,Price Total,Optional,Comments
Pi Camera V2.1 noIR,Raspberry Pi,-,Kiwi Electronics,KW-1703,1,28.95,BSA,
Motic 10X Objective  RedLine200,Motic,12220181,astroshop.be,567HJ,1,39,BSA,Finite conjugate
LED illumination,,,Adafruit,1643,1,9,BSA,Very preliminary pick; may need a simple custom board
